"orgpermid","cusip","isin","ticker","siccode"
4295900032,"25659P402","US25659P4028","DOLNQ",NA
4295900034,"67090R100","US67090R1005","PMCB",2836
4295900036,"69360N108","US69360N1081","PSBQ",6022
4295900037,"960413102","US9604131022","WLK",2860
4295900039,"872237201","US8722372013","TLIF",79
4295900040,"68215T104","US68215T1043","INBI",2844
4295900042,"55302L102","US55302L1026","SOHO",6798
4295900045,"87260T108","US87260T1088","CCME",NA
4295900046,"004397105","US0043971052","ARAY",3841
4295900050,"53217R207","US53217R2076","LTM",7997
4295900052,"52886N208","US52886N2080","LEXX",2834
4295900055,"78390X101","US78390X1019","LDOS",7373
4295900057,"42805T105","US42805T1051","HRI",7350
4295900058,"04622L202","US04622L2025","APHYQ",5912
4295900062,"27888A107","US27888A1079","ECOS",3990
4295900069,"68401P205","US68401P2056","OPHC",6021
4295900075,"96208T104","US96208T1043","WEX",7389
4295900077,"86272T106","US86272T1060","BEE",6798
4295900078,"602496101","US6024961012","MDXG",3841
4295900082,"218681104","US2186811046","CORE",5141
4295900084,"886374107","US8863741075","TDBK",6021
4295900086,"27636M106","US27636M1062","PRTR",4953
4295900088,"644461105","US6444611056","NGBF",NA
4295900090,"053467205","US0534672052","GRVE",1311
4295900099,"401692108","US4016921086","GUID",7372
4295900110,"09063H107","US09063H1077","BMR",6798
4295900112,"169656105","US1696561059","CMG",5812
4295900115,"88338T104","US88338T1043","INVA",2834
4295900119,"384871109","US3848711095","GPT",6798
4295900120,"635309107","US6353091076","NCMI",7310
4295900136,"91702P104","US91702P1049","NEXT",1040
4295900143,"742352107","US7423521076","REVUQ",NA
4295900146,"71902E109","US71902E1091","PNX",6311
4295900152,"377407101","US3774071019","GLBZ",6022
4295900155,"293712105","US2937121059","EFSC",6022
4295900158,"52736R102","US52736R1023","LEVI",23
4295900162,"619718109","US6197181091","MOSY",3674
4295900176,"91730T201","US91730T2015","USCS",1040
4295900188,"591708102","US5917081029","TMUS",4812
4295900190,"016255101","US0162551016","ALGN",3842
4295900202,"02687C109","US02687C1099","AIVN",1040
4295900209,"29481V108","US29481V1089","ERT",8734
4295900213,"22004Y105","US22004Y1055","CRRSQ",7363
4295900215,"23283K105","US23283K1051","PSTV",3841
4295900217,"75886X108","US75886X1081","RGRX",2834
4295900223,"03073T102","US03073T1025","AGP",NA
4295900231,"163572209","US1635722093","CEMI",2834
4295900232,"35180V109","US35180V1098","WKSP",3714
4295900239,"98416E101","US98416E1010","CWTC",7372
4295900244,"343389102","US3433891021","FTK",2890
4295900249,"052562105","US0525621050","COGLF",NA
4295900253,"410495204","US4104952043","HAFC",6021
4295900260,"04350H308","US04350H3084","KITM",7374
4295900262,"750086100","US7500861007","RAX",7370
4295900266,"814785309","US8147853092","SNFCA",6199
4295900267,"043436104","US0434361046","ABG",55
4295900268,"30063P105","US30063P1057","EXAS",8071
4295900269,"21254R208","US21254R2085","CVNSQ",7370
4295900270,"713913200","US7139132002","PGID",3569
4295900272,"64107N206","US64107N2062","UEPS",6099
4295900274,"470751108","US4707511089","JAMN",2090
4295900281,"37940X102","US37940X1028","GPN",7389
4295900289,"","","ATPGQ",1311
4295900293,"559080106","US5590801065","MMP",4610
4295900305,"723618104","US7236181043","PNBI",NA
4295900326,"678026105","US6780261052","OIS",3533
4295900338,"46147M108","US46147M1080","ICH",6211
4295900339,"024343105","US0243431055","AMBK",NA
4295900340,"","","QRTEA",5961
4295900345,"75955K102","US75955K1025","MARK",4899
4295900348,"68557K109","US68557K1097","OWW",47
4295900349,"44980X109","US44980X1090","IPGP",3674
4295900355,"85256R102","US85256R1023","FPFID",2040
4295900362,"38011M108","US38011M1080","GMXRQ",1311
4295900367,"003881307","US0038813079","ACTG",6794
4295900378,"39807A100","US39807A1007","GLGI",3559
4295900387,"390607109","US3906071093","GLDD",16
4295900388,"795435106","US7954351067","SLXP",NA
4295900389,"23305L206","US23305L2060","DZSI",3661
4295900395,"92533G305","US92533G3056","ONMDQ",5047
4295900405,"62940W201","US62940W2017","GLHV",NA
4295900416,"381312107","US3813121072","AHNR",1040
4295900418,"36465C105","US36465C1053","GPLA",6199
4295900424,"116794108","US1167941087","BRKR",3826
4295900428,"040047102","US0400471027","ARNA",2834
4295900432,"70336T104","US70336T1043","PCXCQ",NA
4295900447,"452327109","US4523271090","ILMN",3826
4295900449,"29664W105","US29664W1053","ESPR",2834
4295900454,"45769N105","US45769N1054","ISSC",7371
4295900458,"","","PIOE",4911
4295900467,"516548203","US5165482036","LTRX",3576
4295900475,"78484R101","US78484R1014","VIPV",NA
4295900477,"29760D100","US29760D1000","CDWD",NA
4295900478,"87929J103","US87929J1034","TSYS",7372
4295900483,"72940R102","US72940R1023","PSTI",2836
4295900491,"29444U502","US29444U5020","EQIX",6798
4295900527,"568427108","US5684271084","MPX",3730
4295900540,"17462Q107","US17462Q1076","CZFC",6021
4295900548,"00439T206","US00439T2069","ACW",3714
4295900558,"039209101","US0392091015","KADR",NA
4295900569,"09065C106","US09065C1062","RIVU",7389
4295900576,"","","ACR",6798
4295900599,"948626106","US9486261061","WW",72
4295900626,"546676800","US5466768000","LGASS",4931
4295900677,"842434300","US8424343007","SOCGP",4922
4295900708,"025303306","US0253033064","ASCS",NA
4295900790,"419866850","US4198668505","HAWLI",4911
4295900827,"88338N107","US88338N1072","TXMD",2834
4295900837,"23852P105","US23852P1057","DVTX",7
4295900840,"02005N100","US02005N1000","ALLY",6022
4295900876,"845437300","US8454373007","SWSEO",4911
4295900878,"847215100","US8472151005","SPTN",5141
4295900886,"","","AURX",3841
4295900904,"","","TLS",7373
4295900914,"906548300","US9065483003","UELMO",4911
4295900954,"247368103","US2473681037","DLA",5130
4295900956,"74913G881","US74913G8814","CTBB",4813
4295900974,"26746E103","US26746E1038","DYAX",8731
4295900984,"29076N206","US29076N2062","EMAN",3674
4295900986,"159864107","US1598641074","CRL",8731
4295900988,"905400107","US9054001071","UNB",6022
4295900990,"09247X101","US09247X1019","BLK",6211
4295901001,"084680107","US0846801076","BHLB",6036
4295901003,"45773H201","US45773H2013","INO",3841
4295901004,"02081G201","US02081G2012","ATEC",3841
4295901009,"83083D206","US83083D2062","SKYIQ",55
4295901019,"909458101","US9094581017","UBOH",6021
4295901025,"128246105","US1282461052","CVGW",7
4295901030,"","","SPMD",7310
4295901033,"81721M109","US81721M1099","DHC",6798
4295901051,"051505204","US0515052043","SHMX",10
4295901065,"17243V102","US17243V1026","CNK",7830
4295901069,"022624100","US0226241000","ACGI",NA
4295901070,"01903Q108","US01903Q1085","ALD",NA
4295901075,"006212104","US0062121043","ADX",NA
4295901103,"150602209","US1506022094","CDR",6798
4295901107,"00301W105","US00301W1053","AEF",NA
4295901108,"155123102","US1551231020","CET",NA
4295901121,"26202F107","US26202F1075","DSM",NA
4295901124,"121208201","US1212082010","BKC",NA
4295901142,"224916106","US2249161066","CIK",NA
4295901149,"58457X202","US58457X2027","MDLH",3841
4295901152,"355145103","US3551451038","FT",NA
4295901163,"87911J103","US87911J1034","HQH",NA
4295901180,"831756101","US8317561012","SWBI",3480
4295901208,"530158104","US5301581048","USA",NA
4295901219,"67075J107","US67075J1079","JMM",NA
4295901232,"583928106","US5839281061","MFIN",6199
4295901285,"67062F100","US67062F1003","NXP",NA
4295901317,"67063C106","US67063C1062","NXQ",NA
4295901340,"716549100","US7165491009","PEO",NA
4295901342,"746909100","US7469091000","PIM",NA
4295901345,"759720105","US7597201059","RCG",NA
4295901369,"880192109","US8801921094","TEI",NA
4295901371,"880191101","US8801911012","EMF",NA
4295901380,"780910105","US7809101055","RVT",NA
4295901391,"880198106","US8801981064","GIM",NA
4295901413,"293792107","US2937921078","EPD",4922
4295901424,"812578102","US8125781026","SGEN",2836
4295901429,"86323M100","US86323M1009","SGS",NA
4295901434,"58405D100","US58405D1000","NGBL",3585
4295901443,"836091108","US8360911080","SDBT",NA
4295901450,"87305R109","US87305R1095","TTMI",3672
4295901462,"266605104","US2666051048","DRRX",2834
4295901474,"92407M206","US92407M2061","AWH",2835
4295901475,"","","MIR",NA
4295901484,"695263103","US6952631033","PACW",6021
4295901485,"053499109","US0534991098","AV",3661
4295901488,"784774101","US7847741011","STEC",NA
4295901493,"63634C105","US63634C1053","NHPR",NA
4295901500,"68375Q403","US68375Q4038","OPLK",3661
4295901501,"45826H109","US45826H1095","ITGR",3845
4295901506,"189754104","US1897541041","TPR",31
4295901508,"29382R107","US29382R1077","EVC",4833
4295901511,"711040105","US7110401053","PFIS",6021
4295901514,"68554V108","US68554V1089","OSUR",3841
4295901526,"285512109","US2855121099","EA",7372
4295901552,"45248V108","US45248V1089","IMGM",NA
4295901554,"760182105","US7601821058","RENU",NA
4295901564,"82980W101","US82980W1018","SYTE",6211
4295901582,"90341W108","US90341W1080","LCC",4512
4295901583,"76123U105","US76123U1051","RGDXQ",2835
4295901584,"12618M100","US12618M1009","CPII",NA
4295901592,"91759P106","US91759P1066","INNI",6770
4295901596,"740444104","US7404441047","PLPC",1623
